country rate year 
Georgia 2.92 1963 
Georgia 2.91 1964 
Georgia 2.88 1965 
Georgia 2.85 1966 
Georgia 2.82 1967 
Georgia 2.79 1968 
Georgia 2.75 1969 
Georgia 2.71 1970 
Georgia 2.67 1971 
Germany 2.43 1961 
Germany 2.47 1962 
Germany 2.49 1963 
Germany 2.5 1964 
Germany 2.48 1965 
Germany 2.44 1966 
Germany 2.37 1967 
Germany 2.28 1968 
Germany 2.17 1969 
Germany 2.04 1970 
Germany 1.92 1971 
Ghana 6.79 1961 
Ghana 6.83 1962 
Ghana 6.86 1963 
Ghana 6.89 1964 
Ghana 6.92 1965 
Ghana 6.94 1966 
Ghana 6.95 1967 
Ghana 6.96 1968 
Ghana 6.96 1969 
Ghana 6.95 1970 
Ghana 6.94 1971 
Greece 2.32 1961 
Greece 2.32 1962 
Greece 2.34 1963 
Greece 2.37 1964 
Greece 2.41 1965 
Greece 2.46 1966 
Greece 2.51 1967 
Greece 2.54 1968 
Greece 2.56 1969 
Greece 2.57 1970 
Greece 2.57 1971 
Grenada 6.63 1961 
Grenada 6.44 1962 
Grenada 6.2 1963 
Grenada 5.91 1964 
Grenada 5.6 1965 
Grenada 5.3 1966 
Grenada 5.04 1967 
Grenada 4.84 1968 
Grenada 4.69 1969 
Grenada 4.6 1970 
Grenada 4.56 1971 
Guatemala 6.86 1961 
Guatemala 6.82 1962 
Guatemala 6.79 1963 
Guatemala 6.77 1964 
Guatemala 6.74 1965 
Guatemala 6.72 1966 
Guatemala 6.71 1967 
Guatemala 6.69 1968 
Guatemala 6.66 1969 
Guatemala 6.64 1970 
Guatemala 6.62 1971 
Guinea 6.13 1961 
Guinea 6.14 1962 
Guinea 6.15 1963 
Guinea 6.15 1964 
Guinea 6.16 1965 
Guinea 6.17 1966 
Guinea 6.18 1967 
Guinea 6.19 1968 
Guinea 6.21 1969 
Guinea 6.23 1970 
Guinea 6.25 1971 
Guinea-Bissau 5.93 1961 
Guinea-Bissau 5.94 1962 
Guinea-Bissau 5.95 1963 
Guinea-Bissau 5.96 1964 
Guinea-Bissau 5.97 1965 
Guinea-Bissau 5.98 1966 
Guinea-Bissau 5.99 1967 
Guinea-Bissau 6.01 1968 
Guinea-Bissau 6.02 1969 
Guinea-Bissau 6.04 1970 
Guinea-Bissau 6.06 1971 
Guyana 6.31 1961 
Guyana 6.23 1962 
Guyana 6.14 1963 
Guyana 6.05 1964 
Guyana 5.96 1965 
Guyana 5.86 1966 
Guyana 5.76 1967 
Guyana 5.64 1968 
Guyana 5.52 1969 
Guyana 5.38 1970 
Guyana 5.23 1971 
Haiti 6.32 1961 
Haiti 6.3 1962 
Haiti 6.27 1963 
Haiti 6.23 1964 
Haiti 6.18 1965 
Haiti 6.11 1966 
Haiti 6.03 1967 
Haiti 5.94 1968 
Haiti 5.85 1969 
Haiti 5.76 1970 
Haiti 5.69 1971 
Honduras 7.45 1961 
Honduras 7.44 1962 
Honduras 7.44 1963 
Honduras 7.44 1964 
Honduras 7.44 1965 
Honduras 7.44 1966 
Honduras 7.42 1967 
Honduras 7.38 1968 
Honduras 7.33 1969 
Honduras 7.27 1970 
Honduras 7.2 1971 
Hungary 1.94 1961 
Hungary 1.88 1962 
Hungary 1.84 1963 
Hungary 1.83 1964 
Hungary 1.85 1965 
Hungary 1.88 1966 
Hungary 1.92 1967 
Hungary 1.95 1968 
Hungary 1.98 1969 
Hungary 2.01 1970 
Hungary 2.03 1971 
Iceland 4.07 1961 
Iceland 3.98 1962 
Iceland 3.86 1963 
Iceland 3.74 1964 
Iceland 3.6 1965 
Iceland 3.46 1966 
Iceland 3.34 1967 
Iceland 3.22 1968 
Iceland 3.12 1969 
Iceland 3.03 1970 
Iceland 2.95 1971 
India 5.9 1961 
India 5.89 1962 
India 5.88 1963 
India 5.86 1964 
India 5.83 1965 
India 5.79 1966 
India 5.75 1967 
India 5.7 1968 
India 5.65 1969 
India 5.59 1970 
India 5.52 1971 
Indonesia 5.66 1961 
Indonesia 5.65 1962 
Indonesia 5.63 1963 
Indonesia 5.62 1964 
Indonesia 5.61 1965 
Indonesia 5.6 1966 
Indonesia 5.58 1967 
Indonesia 5.56 1968 
Indonesia 5.52 1969 
Indonesia 5.47 1970 
Indonesia 5.41 1971 
Iran 6.92 1961 
Iran 6.91 1962 
Iran 6.9 1963 
Iran 6.87 1964 
Iran 6.83 1965 
Iran 6.77 1966 
Iran 6.7 1967 
Iran 6.62 1968 
Iran 6.53 1969 
Iran 6.44 1970 
Iran 6.36 1971 
Iraq 6.36 1961 
Iraq 6.51 1962 
Iraq 6.69 1963 
Iraq 6.87 1964 
Iraq 7.04 1965 
Iraq 7.19 1966 
Iraq 7.3 1967 
Iraq 7.36 1968 
Iraq 7.38 1969 
Iraq 7.36 1970 
Iraq 7.31 1971 
Ireland 3.93 1961 
Ireland 3.98 1962 
Ireland 4 1963 
Ireland 3.99 1964 
Ireland 3.95 1965 
Ireland 3.9 1966 
Ireland 3.86 1967 
Ireland 3.83 1968 
Ireland 3.82 1969 
Ireland 3.81 1970 
Ireland 3.81 1971 
Israel 3.84 1961 
Israel 3.83 1962 
Israel 3.82 1963 
Israel 3.82 1964 
Israel 3.81 1965 
Israel 3.8 1966 
Israel 3.8 1967 
Israel 3.81 1968 
Israel 3.81 1969 
Israel 3.82 1970 
Israel 3.81 1971 
Italy 2.43 1961 
Italy 2.47 1962 
Italy 2.5 1963 
Italy 2.52 1964 
Italy 2.53 1965 
Italy 2.53 1966 
Italy 2.52 1967 
Italy 2.5 1968 
Italy 2.48 1969 
Italy 2.44 1970 
Italy 2.4 1971 
Jamaica 5.53 1961 
Jamaica 5.63 1962 
Jamaica 5.71 1963 
Jamaica 5.78 1964 
Jamaica 5.82 1965 
Jamaica 5.82 1966 
Jamaica 5.79 1967 
Jamaica 5.72 1968 
Jamaica 5.62 1969 
Jamaica 5.48 1970 
Jamaica 5.31 1971 
Japan 2.02 1961 
Japan 2.01 1962 
Japan 2.01 1963 
Japan 2.01 1964 
Japan 2.02 1965 
Japan 2.03 1966 
Japan 2.04 1967 
Japan 2.07 1968 
Japan 2.09 1969 
Japan 2.11 1970 
Japan 2.12 1971 
Jordan 7.8 1961 
Jordan 7.9 1962 
Jordan 7.98 1963 
Jordan 8.03 1964 
Jordan 8.06 1965 
Jordan 8.05 1966 
Jordan 8.03 1967 
Jordan 8 1968 
Jordan 7.97 1969 
Jordan 7.93 1970 
Jordan 7.88 1971 
Kazakhstan 4.51 1961 
Kazakhstan 4.43 1962 
Kazakhstan 4.32 1963 
Kazakhstan 4.19 1964 
Kazakhstan 4.05 1965 
Kazakhstan 3.91 1966 
Kazakhstan 3.8 1967 
Kazakhstan 3.71 1968 
Kazakhstan 3.65 1969 
Kazakhstan 3.61 1970 
Kazakhstan 3.59 1971 
Kenya 8 1961 
Kenya 8.04 1962 
Kenya 8.08 1963 
Kenya 8.1 1964 
Kenya 8.12 1965 
Kenya 8.13 1966 
