country rate year 
Lesotho 2 1964 
Lesotho 2 1965 
Lesotho 2 1966 
Lesotho 2 1967 
Lesotho 2 1968 
Lesotho 2 1969 
Lesotho 2 1970 
Lesotho 2 1971 
Liberia 2 1961 
Liberia 2 1962 
Liberia 2 1963 
Liberia 2 1964 
Liberia 2 1965 
Liberia 2 1966 
Liberia 2 1967 
Liberia 2 1968 
Liberia 2 1969 
Liberia 2 1970 
Liberia 2 1971 
Libya 2 1961 
Libya 2 1962 
Libya 2 1963 
Libya 2 1964 
Libya 2 1965 
Libya 2 1966 
Libya 2 1967 
Libya 2 1968 
Libya 2 1969 
Libya 2 1970 
Libya 2 1971 
Lithuania 1 1961 
Lithuania 1 1962 
Lithuania 1 1963 
Lithuania 1 1964 
Lithuania 1 1965 
Lithuania 1 1966 
Lithuania 1 1967 
Lithuania 1 1968 
Lithuania 1 1969 
Lithuania 1 1970 
Lithuania 1 1971 
Luxembourg 1 1961 
Luxembourg 1 1962 
Luxembourg 1 1963 
Luxembourg 1 1964 
Luxembourg 1 1965 
Luxembourg 1 1966 
Luxembourg 1 1967 
Luxembourg 1 1968 
Luxembourg 1 1969 
Luxembourg 1 1970 
Luxembourg 1 1971 
Madagascar 2 1961 
Madagascar 2 1962 
Madagascar 2 1963 
Madagascar 2 1964 
Madagascar 2 1965 
Madagascar 2 1966 
Madagascar 2 1967 
Madagascar 2 1968 
Madagascar 2 1969 
Madagascar 2 1970 
Madagascar 2 1971 
Malawi 2 1961 
Malawi 2 1962 
Malawi 2 1963 
Malawi 2 1964 
Malawi 2 1965 
Malawi 2 1966 
Malawi 2 1967 
Malawi 2 1968 
Malawi 2 1969 
Malawi 2 1970 
Malawi 2 1971 
Malaysia 2 1961 
Malaysia 2 1962 
Malaysia 2 1963 
Malaysia 2 1964 
Malaysia 2 1965 
Malaysia 2 1966 
Malaysia 2 1967 
Malaysia 2 1968 
Malaysia 2 1969 
Malaysia 2 1970 
Malaysia 2 1971 
Maldives 2 1961 
Maldives 2 1962 
Maldives 2 1963 
Maldives 2 1964 
Maldives 2 1965 
Maldives 2 1966 
Maldives 2 1967 
Maldives 2 1968 
Maldives 2 1969 
Maldives 2 1970 
Maldives 2 1971 
Mali 2 1961 
Mali 2 1962 
Mali 2 1963 
Mali 2 1964 
Mali 2 1965 
Mali 2 1966 
Mali 2 1967 
Mali 2 1968 
Mali 2 1969 
Mali 2 1970 
Mali 2 1971 
Malta 2 1961 
Malta 2 1962 
Malta 2 1963 
Malta 2 1964 
Malta 2 1965 
Malta 2 1966 
Malta 2 1967 
