Dataenergy_production_total.csv
,
3
year,country,rate
2004,Pakistan,58800
2005,Pakistan,61500
2006,Pakistan,61900
2007,Pakistan,64200
2008,Pakistan,63300
2009,Pakistan,64900
1960,Panama,
1961,Panama,
1962,Panama,
1963,Panama,
1964,Panama,
1965,Panama,
1966,Panama,
1967,Panama,
1968,Panama,
1969,Panama,
1970,Panama,
1971,Panama,342
1972,Panama,339
1973,Panama,342
1974,Panama,366
1975,Panama,380
1976,Panama,405
1977,Panama,442
1978,Panama,487
1979,Panama,499
1980,Panama,527
1981,Panama,568
1982,Panama,568
1983,Panama,539
1984,Panama,594
1985,Panama,604
1986,Panama,605
1987,Panama,600
1988,Panama,610
1989,Panama,612
1990,Panama,612
1991,Panama,603
1992,Panama,624
1993,Panama,663
1994,Panama,651
1995,Panama,604
1996,Panama,701
1997,Panama,704
1998,Panama,643
1999,Panama,730
2000,Panama,756
2001,Panama,678
2002,Panama,738
2003,Panama,689
2004,Panama,753
2005,Panama,735
2006,Panama,751
2007,Panama,695
2008,Panama,698
2009,Panama,666
1960,Paraguay,
1961,Paraguay,
1962,Paraguay,
1963,Paraguay,
1964,Paraguay,
1965,Paraguay,
1966,Paraguay,
1967,Paraguay,
1968,Paraguay,
1969,Paraguay,
1970,Paraguay,
1971,Paraguay,1170
1972,Paraguay,1190
1973,Paraguay,1270
1974,Paraguay,1300
1975,Paraguay,1250
1976,Paraguay,1310
1977,Paraguay,1330
1978,Paraguay,1420
1979,Paraguay,1470
1980,Paraguay,1610
1981,Paraguay,1630
1982,Paraguay,1670
1983,Paraguay,1750
1984,Paraguay,1760
1985,Paraguay,2030
1986,Paraguay,2780
1987,Paraguay,3670
1988,Paraguay,3880
1989,Paraguay,4310
1990,Paraguay,4580
1991,Paraguay,4880
1992,Paraguay,4520
1993,Paraguay,4820
1994,Paraguay,5380
1995,Paraguay,6030
1996,Paraguay,6390
1997,Paraguay,7010
1998,Paraguay,6860
1999,Paraguay,6740
2000,Paraguay,6840
2001,Paraguay,6160
2002,Paraguay,6290
2003,Paraguay,6620
2004,Paraguay,6630
2005,Paraguay,6730
2006,Paraguay,7130
2007,Paraguay,7290
2008,Paraguay,7530
2009,Paraguay,7440
1960,Peru,
1961,Peru,
1962,Peru,
1963,Peru,
1964,Peru,
1965,Peru,
1966,Peru,
1967,Peru,
1968,Peru,
1969,Peru,
1970,Peru,
1971,Peru,7350
1972,Peru,7520
1973,Peru,7870
1974,Peru,8300
1975,Peru,8050
1976,Peru,8360
1977,Peru,9230
1978,Peru,12300
1979,Peru,14200
1980,Peru,14500
1981,Peru,14600
1982,Peru,15000
1983,Peru,13600
1984,Peru,14600
1985,Peru,14700
1986,Peru,13900
1987,Peru,12900
1988,Peru,11600
1989,Peru,10800
1990,Peru,10600
1991,Peru,9830
1992,Peru,9600
1993,Peru,10100
1994,Peru,10100
1995,Peru,10000
1996,Peru,9960
1997,Peru,9740
1998,Peru,9790
1999,Peru,9530
2000,Peru,9360
2001,Peru,9410
2002,Peru,9290
2003,Peru,9510
2004,Peru,9610
2005,Peru,10900
2006,Peru,11700
2007,Peru,12500
2008,Peru,12700
2009,Peru,15100
1960,Philippines,
1961,Philippines,
1962,Philippines,
1963,Philippines,
1964,Philippines,
1965,Philippines,
1966,Philippines,
1967,Philippines,
